game,char,file,duration_s,tail_maxdB,reason
army-men-rts,hoover,hoover-attacked-1.wav,2.0,-99.0,capped
army-men-rts,hoover,hoover-move-1.wav,2.0,-99.0,capped
army-men-rts,hoover,hoover-move-2.wav,2.0,-99.0,capped
army-men-rts,shrap,shrap-spotted-1.wav,2.0,-99.0,capped
army-men-rts,_shared,barracks_finish.wav,2.0,-99.0,capped
army-men-rts,_shared,blocko_death.wav,2.0,-99.0,capped
army-men-rts,_shared,construct.wav,2.0,-99.0,capped
army-men-rts,_shared,garage_finish.wav,2.0,-99.0,capped
army-men-rts,_shared,goal.wav,2.0,-99.0,capped
army-men-rts,_shared,halftrack_death.wav,2.0,-99.0,capped
army-men-rts,_shared,mine-construct.wav,2.0,-99.0,capped
army-men-rts,_shared,roach_death.wav,2.0,-99.0,capped
army-men-rts,_shared,smallbuilding_death.wav,2.0,-99.0,capped
army-men-rts,_shared,tank_death.wav,2.0,-99.0,capped
army-men-rts,_shared,unload_electric.wav,2.0,-99.0,capped
army-men-rts,_shared,unload_plastic.wav,2.0,-99.0,capped
family-guy,brian,brian-hey-barkeep-0.mp3,2.0,-99.0,capped
family-guy,brian,brian-money-money-0.mp3,2.0,-99.0,capped
family-guy,brian,brian-mustache-0.mp3,2.0,-99.0,capped
family-guy,cleveland,cleveland-crazy-0.mp3,2.0,-99.0,capped
family-guy,cleveland,cleveland-favorite-0.mp3,2.0,-99.0,capped
family-guy,cleveland,cleveland-kill-again-0.mp3,2.0,-99.0,capped
family-guy,cleveland,cleveland-that-window-0.mp3,2.0,-99.0,capped
family-guy,meg,meg-alone-0.mp3,2.0,-99.0,capped
family-guy,meg,meg-convertible-0.mp3,2.0,-99.0,capped
family-guy,meg,meg-like-a-boy-0.mp3,2.0,-99.0,capped
family-guy,meg,meg-sorry-0.mp3,2.0,-99.0,capped
family-guy,peter,peter-nice-job-0.mp3,2.0,-99.0,capped
family-guy,quagmire,quagmire-giggity-0.mp3,2.0,-99.0,capped
family-guy,quagmire,quagmire-hey-foxy-0.mp3,2.0,-99.0,capped
family-guy,quagmire,quagmire-last-nerve-0.mp3,2.0,-99.0,capped
family-guy,quagmire,quagmire-turn-down-music-0.mp3,2.0,-99.0,capped
